model,scenario,region,variable,unit,2018,2020,2025,2030,2035,2040,2045,2050
IMO-GHG-4,scenario 34,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1023.202,1033.455,1021.703,1022.793,1033.793,1070.779,1095.636
IMO-GHG-4,scenario 35,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,986.459,1051.298,1122.357,1211.301,1352.202,1487.445,1634.869
IMO-GHG-4,scenario 36,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1026.352,1073.631,1084.026,1093.94,1110.038,1140.47,1161.25
IMO-GHG-4,scenario 37,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1014.472,1109.522,1200.117,1296.074,1444.021,1572.5,1712.054
IMO-GHG-4,scenario 38,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1026.982,1081.317,1097.674,1114.913,1138.654,1174.952,1202.708
IMO-GHG-4,scenario 39,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1021.06,1122.472,1219.017,1323.525,1480.993,1617.426,1765.684
IMO-GHG-4,scenario 40,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1026.982,1082.958,1100.748,1121.962,1149.85,1190.062,1221.945
IMO-GHG-4,scenario 41,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1020.867,1124.219,1222.787,1331.911,1494.481,1636.09,1789.801
IMO-GHG-4,scenario 42,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1026.982,1083.123,1101.059,1124.073,1153.883,1195.552,1228.947
IMO-GHG-4,scenario 43,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1005.305,1099.703,1189.242,1288.185,1437.72,1575.868,1725.927
IMO-GHG-4,scenario 44,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1025.835,1045.658,1039.74,1031.005,1028.958,1035.351,1047.72
IMO-GHG-4,scenario 45,World,Emissions|CO2|Energy|Demand|Transportation|Maritime,Mt/a,999.023,1025.623,1070.09,1078.362,1092.261,1110.037,1135.222,1155.582
