model,scenario,category,subcategory
AIM/CGE 2.0,ADVANCE_2020_1.5C-2100,1.5C low overshoot,Lower 1.5C low overshoot
AIM/CGE 2.0,ADVANCE_2020_Med2C,Higher 2C,Higher 2C
AIM/CGE 2.0,ADVANCE_2020_WB2C,Lower 2C,Lower 2C
AIM/CGE 2.0,ADVANCE_2030_Med2C,Above 2C,Above 2C
AIM/CGE 2.0,ADVANCE_2030_Price1.5C,Lower 2C,Lower 2C
AIM/CGE 2.0,ADVANCE_2030_WB2C,Lower 2C,Lower 2C
AIM/CGE 2.0,ADVANCE_INDC,Above 2C,Above 2C
AIM/CGE 2.0,ADVANCE_NoPolicy,Above 2C,Above 2C
AIM/CGE 2.0,ADVANCE_Reference,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_Bio_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_Bio_2Degree,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_Bio_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_EEEI_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_EEEI_2Degree,Higher 2C,Higher 2C
AIM/CGE 2.0,SFCM_SSP2_EEEI_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_2Degree,Higher 2C,Higher 2C
AIM/CGE 2.0,SFCM_SSP2_LifeStyle_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_Ref_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_Ref_2Degree,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_Ref_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_2Degree,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_ST_CCS_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_ST_bio_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_ST_bio_2Degree,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_ST_bio_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_2Degree,Higher 2C,Higher 2C
AIM/CGE 2.0,SFCM_SSP2_ST_nuclear_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_ST_solar_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_ST_solar_2Degree,Higher 2C,Higher 2C
AIM/CGE 2.0,SFCM_SSP2_ST_solar_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_ST_wind_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_ST_wind_2Degree,Higher 2C,Higher 2C
AIM/CGE 2.0,SFCM_SSP2_ST_wind_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_SupTech_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_SupTech_2Degree,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_SupTech_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SFCM_SSP2_combined_1p5Degree,Lower 2C,Lower 2C
AIM/CGE 2.0,SFCM_SSP2_combined_2Degree,Higher 2C,Higher 2C
AIM/CGE 2.0,SFCM_SSP2_combined_Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SSP1-19,1.5C low overshoot,Lower 1.5C low overshoot
AIM/CGE 2.0,SSP1-26,Lower 2C,Lower 2C
AIM/CGE 2.0,SSP1-34,Above 2C,Above 2C
AIM/CGE 2.0,SSP1-45,Above 2C,Above 2C
AIM/CGE 2.0,SSP1-Baseline,Above 2C,Above 2C
AIM/CGE 2.0,SSP2-19,1.5C low overshoot,Lower 1.5C low overshoot
AIM/CGE 2.0,SSP2-26,Lower 2C,Lower 2C
